travel_id,city,days,priority,slot_index,location_name,lat,lng,rating,open_min,close_min,visit_duration,mandatory,target_position,target_arrival_min,target_departure_min,target_status
trip_0,Mumbai,1,distance,0,Marine Drive,18.944,72.823,4.0,480,1080,60,False,0.0,540.0,600.0,feasible
trip_0,Mumbai,1,distance,1,Juhu Beach,19.0883,72.8264,4.0,600,1140,45,True,1.0,600.0,660.0,feasible
trip_0,Mumbai,1,distance,2,Gateway of India,18.922,72.8347,4.1,600,1020,45,True,2.0,660.0,720.0,feasible
trip_0,Mumbai,1,distance,3,Siddhivinayak Temple,19.0176,72.8302,4.2,480,1020,45,false,3.0,780.0,840.0,feasible
trip_1,Mumbai,1,time,0,Juhu Beach,19.0883,72.8264,4.1,600,1140,45,False,0.0,660.0,720.0,feasible
trip_1,Mumbai,1,time,1,Elephanta Caves,18.9633,72.9315,4.2,600,1020,60,False,1.0,720.0,780.0,feasible
trip_1,Mumbai,1,time,2,Siddhivinayak Temple,19.0176,72.8302,4.0,540,1140,90,True,2.0,780.0,840.0,feasible
trip_1,Mumbai,1,time,3,Gateway of India,18.922,72.8347,4.6,600,1080,45,true,3.0,840.0,900.0,feasible
trip_1,Mumbai,1,time,4,Marine Drive,18.944,72.823,4.7,540,1020,60,false,4.0,900.0,960.0,feasible
trip_2,Mumbai,1,scenic,0,Juhu Beach,19.0883,72.8264,4.2,480,1020,45,True,0.0,540.0,600.0,feasible
trip_2,Mumbai,1,scenic,1,Marine Drive,18.944,72.823,4.8,480,1080,60,False,1.0,720.0,780.0,feasible
trip_2,Mumbai,1,scenic,2,Elephanta Caves,18.9633,72.9315,4.4,600,1080,90,True,2.0,780.0,840.0,feasible
trip_2,Mumbai,1,scenic,3,Gateway of India,18.922,72.8347,4.3,540,1080,45,true,3.0,840.0,900.0,feasible
trip_2,Mumbai,1,scenic,4,Siddhivinayak Temple,19.0176,72.8302,4.3,600,1020,60,false,4.0,900.0,960.0,feasible
trip_3,Mumbai,1,time,0,Elephanta Caves,18.9633,72.9315,4.1,480,1080,45,False,0.0,540.0,600.0,feasible
trip_3,Mumbai,1,time,1,Siddhivinayak Temple,19.0176,72.8302,4.7,480,1140,60,True,1.0,720.0,780.0,feasible
trip_3,Mumbai,1,time,2,Juhu Beach,19.0883,72.8264,4.1,480,1080,45,True,2.0,780.0,840.0,feasible
trip_4,Mumbai,1,scenic,0,Siddhivinayak Temple,19.0176,72.8302,4.6,540,1020,45,True,0.0,600.0,660.0,feasible
trip_4,Mumbai,1,scenic,1,Elephanta Caves,18.9633,72.9315,4.7,480,1020,45,True,1.0,660.0,720.0,feasible
trip_4,Mumbai,1,scenic,2,Marine Drive,18.944,72.823,4.5,600,1020,45,False,2.0,720.0,780.0,feasible
trip_4,Mumbai,1,scenic,3,Juhu Beach,19.0883,72.8264,4.1,540,1140,45,false,3.0,780.0,840.0,feasible
trip_5,Bangalore,1,distance,0,Bannerghatta National Park,12.8,77.577,4.2,480,1080,90,False,0.0,540.0,600.0,feasible
trip_5,Bangalore,1,distance,1,Bangalore Palace,12.9987,77.592,4.3,480,1020,60,True,1.0,600.0,660.0,feasible
trip_5,Bangalore,1,distance,2,Lalbagh Botanical Garden,12.9507,77.5848,4.5,540,1140,90,False,2.0,660.0,720.0,feasible
trip_5,Bangalore,1,distance,3,ISKCON Temple Bangalore,13.0097,77.5511,4.6,600,1080,60,false,3.0,720.0,780.0,feasible
trip_5,Bangalore,1,distance,4,Cubbon Park,12.9763,77.5929,4.4,540,1140,45,false,4.0,780.0,840.0,feasible
trip_6,Bangalore,1,scenic,0,Lalbagh Botanical Garden,12.9507,77.5848,4.1,600,1020,45,True,0.0,540.0,600.0,feasible
trip_6,Bangalore,1,scenic,1,Bangalore Palace,12.9987,77.592,4.7,540,1140,45,True,1.0,600.0,660.0,feasible
trip_6,Bangalore,1,scenic,2,ISKCON Temple Bangalore,13.0097,77.5511,4.6,480,1140,60,True,2.0,660.0,720.0,feasible
trip_6,Bangalore,1,scenic,3,Bannerghatta National Park,12.8,77.577,4.4,600,1140,45,true,3.0,720.0,780.0,feasible
trip_7,Delhi,1,time,0,Red Fort,28.6562,77.241,4.3,540,1080,45,False,0.0,540.0,600.0,feasible
trip_7,Delhi,1,time,1,Qutub Minar,28.5244,77.1855,4.1,480,1020,45,True,1.0,600.0,660.0,feasible
trip_7,Delhi,1,time,2,India Gate,28.6129,77.2295,4.6,600,1020,45,True,2.0,660.0,720.0,feasible
trip_7,Delhi,1,time,3,Akshardham Temple,28.6127,77.2773,4.5,600,1020,45,false,3.0,720.0,780.0,feasible
trip_7,Delhi,1,time,4,Lotus Temple,28.5535,77.2588,4.3,540,1080,60,true,4.0,900.0,960.0,feasible
trip_8,Bangalore,1,distance,0,ISKCON Temple Bangalore,13.0097,77.5511,4.7,540,1080,60,False,0.0,540.0,600.0,feasible
trip_8,Bangalore,1,distance,1,Cubbon Park,12.9763,77.5929,4.7,600,1140,60,False,1.0,720.0,780.0,feasible
trip_8,Bangalore,1,distance,2,Bangalore Palace,12.9987,77.592,4.6,480,1080,45,False,2.0,780.0,840.0,feasible
trip_8,Bangalore,1,distance,3,Lalbagh Botanical Garden,12.9507,77.5848,4.5,600,1020,60,true,3.0,840.0,900.0,feasible
trip_8,Bangalore,1,distance,4,Bannerghatta National Park,12.8,77.577,4.1,540,1140,45,false,4.0,900.0,960.0,feasible
